P1|P2|P3|样本数|平均月薪|链接|1年以内|1-3年|3-5年|5-10年|10年以上|24岁以下|25岁-29岁|30岁-34岁|35岁-39岁|40岁-44岁|45岁以上
服务业|餐饮|餐饮店长|51,203|￥6883|https://www.zhipin.com/salaryxc/c101120100_p290206.html|1年以内工作经验占比11%，平均月薪¥6,300；|1-3年工作经验占比52%，平均月薪¥6,700；|3-5年工作经验占比31%，平均月薪¥7,200；|5-10年工作经验占比5%，平均月薪¥8,000；|10年以上工作经验占比1%，平均月薪¥8,400；|24岁以下占比42%；|25岁-29岁占比22%；|30岁-34岁占比17%；|35岁-39岁占比11%；|40岁-44岁占比5%；|45岁以上占比3%；
服务业|餐饮|餐饮前厅经理/领班|18,887|￥5573|https://www.zhipin.com/salaryxc/c101120100_p290207.html|1年以内工作经验占比9%，平均月薪¥4,700；|1-3年工作经验占比67%，平均月薪¥5,300；|3-5年工作经验占比22%，平均月薪¥6,300；|5-10年工作经验占比1%，平均月薪¥7,000；|10年以上工作经验占比1%，平均月薪¥0；|24岁以下占比62%；|25岁-29岁占比19%；|30岁-34岁占比10%；|35岁-39岁占比6%；|40岁-44岁占比2%；|45岁以上占比1%；
服务业|餐饮|后厨|13,784|￥4206|https://www.zhipin.com/salaryxc/c101120100_p290208.html|1年以内工作经验占比3%，平均月薪¥4,300；|1-3年工作经验占比84%，平均月薪¥4,300；|3-5年工作经验占比13%，平均月薪¥4,300；|||24岁以下占比46%；|25岁-29岁占比11%；|30岁-34岁占比10%；|35岁-39岁占比7%；|40岁-44岁占比7%；|45岁以上占比19%；
服务业|餐饮|配菜打荷|11,427|￥4033|https://www.zhipin.com/salaryxc/c101120100_p290209.html|1年以内工作经验占比1%，平均月薪¥4,300；|1-3年工作经验占比68%，平均月薪¥4,700；|3-5年工作经验占比14%，平均月薪¥5,400；|5-10年工作经验占比16%，平均月薪¥6,103；|10年以上工作经验占比1%，平均月薪¥9,142；|24岁以下占比58%；|25岁-29岁占比11%；|30岁-34岁占比8%；|35岁-39岁占比6%；|40岁-44岁占比5%；|45岁以上占比12%；
服务业|餐饮|茶艺师|9,220|￥4253|https://www.zhipin.com/salaryxc/c101120100_p290210.html|1年以内工作经验占比1%，平均月薪¥4,000；|1-3年工作经验占比66%，平均月薪¥5,000；|3-5年工作经验占比29%，平均月薪¥5,000；|5-10年工作经验占比3%，平均月薪¥5,700；|10年以上工作经验占比1%，平均月薪¥7,489；|24岁以下占比63%；|25岁-29岁占比17%；|30岁-34岁占比11%；|35岁-39岁占比6%；|40岁-44岁占比2%；|45岁以上占比1%；
服务业|餐饮|蛋糕/裱花师|3,303|￥4203|https://www.zhipin.com/salaryxc/c101120100_p290211.html||1-3年工作经验占比74%，平均月薪¥4,700；|3-5年工作经验占比21%，平均月薪¥5,000；|5-10年工作经验占比4%，平均月薪¥6,700；|10年以上工作经验占比1%，平均月薪¥10,036；|24岁以下占比71%；|25岁-29岁占比12%；|30岁-34岁占比8%；|35岁-39岁占比5%；|40岁-44岁占比2%；|45岁以上占比2%；
服务业|餐饮|餐饮学徒|7,863|￥3936|https://www.zhipin.com/salaryxc/c101120100_p290212.html|1年以内工作经验占比2%，平均月薪¥4,000；|1-3年工作经验占比60%，平均月薪¥4,000；|3-5年工作经验占比15%，平均月薪¥4,300；|5-10年工作经验占比22%，平均月薪¥4,520；|10年以上工作经验占比1%，平均月薪¥6,772；|24岁以下占比71%；|25岁-29岁占比12%；|30岁-34岁占比7%；|35岁-39岁占比4%；|40岁-44岁占比2%；|45岁以上占比4%；
服务业|餐饮|面点师|5,795|￥4510|https://www.zhipin.com/salaryxc/c101120100_p290213.html|1年以内工作经验占比1%，平均月薪¥3,000；|1-3年工作经验占比49%，平均月薪¥4,300；|3-5年工作经验占比40%，平均月薪¥4,300；|5-10年工作经验占比10%，平均月薪¥4,700；||24岁以下占比25%；|25岁-29岁占比8%；|30岁-34岁占比11%；|35岁-39岁占比12%；|40岁-44岁占比12%；|45岁以上占比32%；
服务业|餐饮|行政总厨|867|￥11553|https://www.zhipin.com/salaryxc/c101120100_p290214.html||1-3年工作经验占比4%，平均月薪¥10,000；|3-5年工作经验占比57%，平均月薪¥10,600；|5-10年工作经验占比38%，平均月薪¥14,400；|10年以上工作经验占比1%，平均月薪¥15,000；|24岁以下占比3%；|25岁-29岁占比9%；|30岁-34岁占比17%；|35岁-39岁占比29%；|40岁-44岁占比24%；|45岁以上占比18%；
服务业|餐饮|厨师长|7,641|￥7443|https://www.zhipin.com/salaryxc/c101120100_p290215.html||1-3年工作经验占比31%，平均月薪¥8,000；|3-5年工作经验占比57%，平均月薪¥8,600；|5-10年工作经验占比12%，平均月薪¥9,200；||24岁以下占比18%；|25岁-29岁占比17%；|30岁-34岁占比22%；|35岁-39岁占比20%；|40岁-44岁占比12%；|45岁以上占比11%；
